SSD capacity:		4GB
Page size:		4KB
Pages / Block:		128 pages
Block size:		512KB
OP ratio:		25%
Physical Blocks:	8K (8192)
User Blocks:		6553
OP Blocks:		1639
PPNs:			1M (1048576)
LPNs:			838784
Total runs:		x10
Actual capacity:	3435659264 Bytes

Workload : Multi Hot/Cold
FTL : Multi-Stream policy
blk to erase 94 3224
blk to erase 3287 94
blk to erase 422 3287
blk to erase 47 422
blk to erase 3223 47
blk to erase 323 3223
blk to erase 21 323
blk to erase 3221 21
blk to erase 126 3221
blk to erase 3209 126
blk to erase 67 3209
blk to erase 15 67
blk to erase 3204 15
blk to erase 968 3204
blk to erase 3201 968
blk to erase 5 3201
blk to erase 3182 5
blk to erase 3089 3182
blk to erase 3190 3089
blk to erase 1226 3190
blk to erase 3059 1226
blk to erase 3188 3059
blk to erase 3002 3188
blk to erase 1491 3002
blk to erase 3419 1491
blk to erase 2726 3419
blk to erase 3183 2726
blk to erase 656 3183
blk to erase 2022 656
blk to erase 3181 2022
blk to erase 2192 3181
blk to erase 1344 2192
blk to erase 3405 1344
blk to erase 1842 3405
blk to erase 3175 1842
blk to erase 2106 3175
blk to erase 2992 2106
blk to erase 3795 2992
blk to erase 1742 3795
blk to erase 1337 1742
blk to erase 3171 1337
blk to erase 1441 3171
blk to erase 3161 1441
blk to erase 417 3161
blk to erase 1373 417
blk to erase 3698 1373
blk to erase 3172 3698
blk to erase 955 3172
blk to erase 3690 955
blk to erase 1049 3690
blk to erase 957 1049
blk to erase 3165 957
blk to erase 1380 3165
blk to erase 3150 1380
blk to erase 939 3150
blk to erase 1102 939
blk to erase 3147 1102
blk to erase 919 3147
blk to erase 1060 919
blk to erase 3206 1060
blk to erase 870 3206
blk to erase 3146 870
blk to erase 1057 3146
blk to erase 707 1057
blk to erase 3140 707
blk to erase 1033 3140
blk to erase 1951 1033
blk to erase 3139 1951
blk to erase 598 3139
blk to erase 3325 598
blk to erase 900 3325
blk to erase 3185 900
blk to erase 401 3185
blk to erase 821 401
blk to erase 3124 821
blk to erase 381 3124
blk to erase 817 381
blk to erase 3123 817
blk to erase 292 3123
blk to erase 3121 292
blk to erase 762 3121
blk to erase 146 762
blk to erase 3856 146
blk to erase 10 3856
blk to erase 1359 10
blk to erase 3114 1359
blk to erase 1461 3114
blk to erase 734 1461
blk to erase 3101 734
blk to erase 4091 3101
blk to erase 3100 4091
blk to erase 646 3100
blk to erase 3950 646
blk to erase 3136 3950
blk to erase 3921 3136
blk to erase 114 3921
blk to erase 3096 114
blk to erase 3773 3096
blk to erase 1010 3773
blk to erase 3095 1010
blk to erase 547 3095
blk to erase 3093 547
blk to erase 580 3093
blk to erase 3359 580
blk to erase 3092 3359
blk to erase 528 3092
blk to erase 552 528
blk to erase 3076 552
blk to erase 3068 3076
blk to erase 529 3068
blk to erase 2873 529
blk to erase 3065 2873
blk to erase 2791 3065
blk to erase 448 2791
blk to erase 4203 448
blk to erase 2737 4203
blk to erase 2322 2737
blk to erase 4053 2322
blk to erase 400 4053
blk to erase 2223 400
blk to erase 4105 2223
blk to erase 357 4105
blk to erase 2293 357
blk to erase 3062 2293
blk to erase 2213 3062
blk to erase 3808 2213
blk to erase 285 3808
blk to erase 2202 285
blk to erase 3639 2202
blk to erase 2133 3639
blk to erase 311 2133
blk to erase 3056 311
blk to erase 2080 3056
blk to erase 3053 2080
blk to erase 1694 3053
blk to erase 245 1694
blk to erase 3052 245
blk to erase 1625 3052
blk to erase 827 1625
blk to erase 3049 827
blk to erase 1533 3049
blk to erase 3044 1533
blk to erase 200 3044
blk to erase 1472 200
blk to erase 4093 1472
blk to erase 1340 4093
blk to erase 101 1340
blk to erase 3211 101
blk to erase 1331 3211
blk to erase 128 1331
blk to erase 3043 128
blk to erase 1282 3043
blk to erase 3040 1282
blk to erase 1261 3040
blk to erase 74 1261
blk to erase 3039 74
blk to erase 1150 3039
blk to erase 3037 1150
blk to erase 41 3037
blk to erase 1483 41
blk to erase 3036 1483
blk to erase 962 3036
blk to erase 1119 962
blk to erase 3927 1119
blk to erase 800 3927
blk to erase 2307 800
blk to erase 3034 2307
blk to erase 729 3034
blk to erase 3029 729
blk to erase 568 3029
blk to erase 2238 568
blk to erase 3027 2238
blk to erase 500 3027
blk to erase 1397 500
blk to erase 3026 1397
blk to erase 459 3026
blk to erase 3484 459
blk to erase 2057 3484
blk to erase 371 2057
blk to erase 3277 371
blk to erase 361 3277
blk to erase 1919 361
blk to erase 4341 1919
blk to erase 332 4341
blk to erase 1699 332
blk to erase 3024 1699
blk to erase 246 3024
blk to erase 177 246
blk to erase 3023 177
blk to erase 1667 3023
blk to erase 3013 1667
blk to erase 4493 3013
blk to erase 3651 4493
blk to erase 650 3651
blk to erase 4572 650
blk to erase 3009 4572
blk to erase 1993 3009
blk to erase 1387 1993
blk to erase 3006 1387
blk to erase 1503 3006
blk to erase 3214 1503
blk to erase 1276 3214
blk to erase 3003 1276
blk to erase 3722 3003
blk to erase 1125 3722
blk to erase 3582 1125
blk to erase 3000 3582
blk to erase 3162 3000
blk to erase 2998 3162
blk to erase 288 2998
blk to erase 3109 288
blk to erase 4060 3109
blk to erase 2811 4060
blk to erase 1891 2811
blk to erase 4107 1891
blk to erase 2863 4107
blk to erase 3360 2863
blk to erase 2800 3360
blk to erase 1233 2800
blk to erase 2996 1233
blk to erase 2532 2996
blk to erase 1145 2532
blk to erase 2995 1145
blk to erase 2340 2995
blk to erase 1090 2340
blk to erase 2988 1090
blk to erase 1108 2988
blk to erase 2983 1108
blk to erase 1206 2983
blk to erase 2273 1206
blk to erase 2979 2273
blk to erase 1086 2979
blk to erase 2171 1086
blk to erase 3156 2171
blk to erase 2162 3156
blk to erase 1680 2162
blk to erase 3536 1680
blk to erase 2113 3536
blk to erase 3113 2113
blk to erase 163 3113
blk to erase 2091 163
blk to erase 4099 2091
blk to erase 1873 4099
blk to erase 390 1873
blk to erase 3801 390
blk to erase 2062 3801
blk to erase 3506 2062
blk to erase 2052 3506
blk to erase 1647 2052
blk to erase 1923 1647
blk to erase 3285 1923
blk to erase 948 3285
blk to erase 2978 948
blk to erase 1904 2978
blk to erase 3682 1904
blk to erase 4185 3682
blk to erase 893 4185
blk to erase 1832 893
blk to erase 2973 1832
blk to erase 880 2973
blk to erase 1772 880
blk to erase 2962 1772
blk to erase 1635 2962
blk to erase 2681 1635
blk to erase 2955 2681
blk to erase 1615 2955
blk to erase 2953 1615
blk to erase 1592 2953
blk to erase 856 1592
blk to erase 2949 856
blk to erase 1582 2949
blk to erase 1016 1582
blk to erase 3721 1016
blk to erase 1563 3721
blk to erase 2946 1563
blk to erase 767 2946
blk to erase 1553 767
blk to erase 2938 1553
blk to erase 1543 2938
blk to erase 1182 1543
blk to erase 3069 1182
blk to erase 1294 3069
blk to erase 3111 1294
blk to erase 2186 3111
blk to erase 1219 2186
blk to erase 2931 1219
blk to erase 1069 2931
blk to erase 525 1069
blk to erase 217 525
blk to erase 2928 217
blk to erase 308 2928
blk to erase 750 308
blk to erase 2926 750
blk to erase 711 2926
blk to erase 3997 711
blk to erase 3988 3997
blk to erase 2925 3988
blk to erase 665 2925
blk to erase 719 665
blk to erase 2921 719
blk to erase 282 2921
blk to erase 18 282
blk to erase 2920 18
blk to erase 197 2920
blk to erase 2918 197
blk to erase 616 2918
blk to erase 1524 616
blk to erase 4473 1524
blk to erase 4226 4473
blk to erase 558 4226
blk to erase 3978 558
blk to erase 2917 3978
blk to erase 3842 2917
blk to erase 3250 3842
blk to erase 475 3250
blk to erase 3811 475
blk to erase 2912 3811
blk to erase 3490 2912
blk to erase 2910 3490
blk to erase 522 2910
blk to erase 3931 522
blk to erase 3843 3931
blk to erase 397 3843
blk to erase 2950 397
blk to erase 4104 2950
blk to erase 465 4104
blk to erase 3450 465
blk to erase 4172 3450
